months,multiple,gb_mon,security,backup,protection,support,unlimited,contract,paperless,monthly,satisfaction,churn_value,offer,internet_type
34,0,8,0,0,1,0,0,Month-to-Month,1,41.29353234,3,1,None,internet_type_DSL
1,1,17,0,1,0,0,1,Month-to-Month,1,82.08955224,3,1,offer_Offer E,internet_type_Fiber Optic
2,1,52,0,0,0,0,1,Month-to-Month,1,96.8159204,2,1,offer_Offer D,internet_type_Fiber Optic
8,0,12,0,1,1,0,1,Month-to-Month,1,99.85074627,2,1,offer_Offer C,internet_type_Fiber Optic
3,1,14,0,0,0,0,1,Month-to-Month,1,77.960199,2,1,offer_Offer C,internet_type_Fiber Optic
13,1,18,0,0,1,0,0,Month-to-Month,1,79.50248756,1,1,offer_Offer C,internet_type_Fiber Optic
16,0,30,0,0,0,0,1,Month-to-Month,1,71.94029851,2,1,offer_Offer E,internet_type_Fiber Optic
52,0,24,0,1,1,0,1,Month-to-Month,1,46.91542289,1,1,offer_Offer B,internet_type_DSL
66,1,19,0,0,0,0,1,Month-to-Month,1,75.92039801,2,1,offer_Offer D,internet_type_Fiber Optic
32,0,18,1,0,0,0,0,Month-to-Month,0,77.91044776,2,1,offer_Offer E,internet_type_Fiber Optic
48,0,29,0,1,0,0,0,Month-to-Month,1,96.3681592,1,1,offer_Offer D,internet_type_Fiber Optic
62,0,29,0,1,0,0,1,Month-to-Month,1,75.87064677,1,1,offer_Offer D,internet_type_Fiber Optic
25,0,12,0,1,0,0,1,Month-to-Month,0,41.84079602,2,1,offer_Offer E,internet_type_DSL
51,0,28,0,0,1,0,1,Month-to-Month,1,42.78606965,2,1,offer_Offer E,internet_type_DSL
35,1,11,0,1,1,0,0,Month-to-Month,1,108.2089552,1,1,offer_Offer D,None
46,0,9,0,0,0,1,1,Month-to-Month,1,95.82089552,1,1,offer_Offer D,internet_type_Fiber Optic
40,0,7,0,1,0,0,1,Month-to-Month,1,75.97014925,2,1,None,internet_type_Fiber Optic
61,1,15,0,0,0,0,1,Month-to-Month,1,77.56218905,2,1,offer_Offer C,internet_type_Fiber Optic
67,1,2,0,0,0,0,1,Month-to-Month,1,96.8159204,3,1,offer_Offer E,internet_type_Fiber Optic
15,1,10,0,0,0,0,1,Month-to-Month,1,76.3681592,2,1,offer_Offer C,internet_type_Fiber Optic
9,0,12,0,0,1,0,1,Month-to-Month,1,94.52736318,2,1,offer_Offer C,None
33,1,5,1,1,0,1,1,One-Year,0,83.88059701,1,1,offer_Offer B,internet_type_DSL
22,0,10,0,0,0,0,1,Month-to-Month,1,71.84079602,3,1,offer_Offer E,internet_type_Fiber Optic
4,0,8,1,0,0,0,1,Month-to-Month,1,43.53233831,1,1,None,None
65,0,13,1,0,0,0,0,Month-to-Month,0,32.43781095,1,1,None,None
34,0,0,0,0,0,0,0,Month-to-Month,0,21.69154229,1,1,None,internet_type_None
19,1,27,0,1,1,0,0,Month-to-Month,1,86.86567164,1,1,offer_Offer B,internet_type_Fiber Optic
56,1,14,0,1,0,0,1,Month-to-Month,1,82.78606965,1,1,offer_Offer E,internet_type_Fiber Optic
31,0,17,0,0,1,0,0,Month-to-Month,1,76.76616915,2,1,offer_Offer E,internet_type_Fiber Optic
12,0,26,0,1,0,0,1,Month-to-Month,0,30.14925373,2,1,offer_Offer E,internet_type_DSL
34,1,12,0,1,1,0,0,Month-to-Month,1,95.47263682,1,1,None,internet_type_Fiber Optic
26,1,22,0,0,0,0,1,Month-to-Month,1,75.82089552,1,1,offer_Offer E,internet_type_Fiber Optic
51,0,25,1,0,0,0,1,Month-to-Month,1,76.66666667,1,1,None,None
32,1,24,0,0,1,0,1,Month-to-Month,1,90.59701493,1,1,None,None
56,1,21,0,0,0,0,1,Month-to-Month,1,87.11442786,1,1,None,internet_type_Fiber Optic
6,1,28,1,0,1,0,1,Month-to-Month,0,106.5671642,1,1,offer_Offer B,internet_type_Fiber Optic
63,1,14,0,1,0,0,1,Month-to-Month,0,91.44278607,2,1,offer_Offer B,internet_type_Fiber Optic
2,1,5,0,1,1,1,1,Month-to-Month,1,112.039801,2,1,offer_Offer B,internet_type_Fiber Optic
62,1,12,1,0,1,0,1,One-Year,1,105.8706468,1,1,offer_Offer B,internet_type_Fiber Optic
65,1,10,0,0,0,0,1,Month-to-Month,1,95.92039801,1,1,None,internet_type_Fiber Optic
53,1,19,0,1,0,0,1,Month-to-Month,0,90.89552239,2,1,None,internet_type_Fiber Optic
48,0,0,0,0,0,0,0,Month-to-Month,0,21.39303483,2,1,None,internet_type_None
26,0,18,0,1,0,0,0,Month-to-Month,1,50.74626866,2,1,None,internet_type_DSL
